id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;bookingrules;mode;pointgeo;nom_commune;code_insee
IDFM:C00267;6531;IDFM:14181;Frères Tissier;2.0261228624277967;48.94205721061999;Keolis Seine et Oise Est;6531;;Bus;48.94205721061999, 2.0261228624277967;Carrières-sous-Poissy;78123
IDFM:C00267;6531;IDFM:13704;Ancienne Mairie;2.0379946360306227;48.946056108697334;Keolis Seine et Oise Est;6531;;Bus;48.946056108697334, 2.0379946360306227;Carrières-sous-Poissy;78123
IDFM:C00270;6540;IDFM:13739;Stade Mazières;2.0423293460054026;48.94866285020829;Keolis Seine et Oise Est;6540;;Bus;48.94866285020829, 2.0423293460054026;Carrières-sous-Poissy;78123
IDFM:C00270;6540;IDFM:13685;Flore;2.044903420057314;48.965374466203606;Keolis Seine et Oise Est;6540;;Bus;48.965374466203606, 2.044903420057314;Andrésy;78015
IDFM:C00270;6540;IDFM:13688;Rue de Chanteloup;2.044984042372866;48.96767730584721;Keolis Seine et Oise Est;6540;;Bus;48.96767730584721, 2.044984042372866;Andrésy;78015
IDFM:C00270;6540;IDFM:13516;Foch Gallieni;2.0657925751472077;48.98938802367197;Keolis Seine et Oise Est;6540;;Bus;48.98938802367197, 2.0657925751472077;Andrésy;78015
IDFM:C00270;6540;IDFM:481926;Gare de Conflans Fin d'Oise - Quai A1;2.0750267686878905;48.988794107528;Keolis Seine et Oise Est;6540;;Bus;48.988794107528, 2.0750267686878905;Conflans-Sainte-Honorine;78172
IDFM:C00270;6540;IDFM:13695;Marché;2.057909948764143;48.97873287622711;Keolis Seine et Oise Est;6540;;Bus;48.97873287622711, 2.057909948764143;Andrésy;78015
IDFM:C00270;6540;IDFM:13702;Gare d'Andrésy;2.050030233789738;48.97482178495782;Keolis Seine et Oise Est;6540;;Bus;48.97482178495782, 2.050030233789738;Andrésy;78015
IDFM:C00270;6540;IDFM:13723;La Fourche;2.042863584497629;48.955987484999135;Keolis Seine et Oise Est;6540;;Bus;48.955987484999135, 2.042863584497629;Carrières-sous-Poissy;78123
IDFM:C00270;6540;IDFM:13733;Pont Neuf;2.0367760487290982;48.93960721406158;Keolis Seine et Oise Est;6540;;Bus;48.93960721406158, 2.0367760487290982;Carrières-sous-Poissy;78123
IDFM:C00271;6591;IDFM:18646;Gare de Cergy Saint-Christophe;2.0332484593704105;49.050072545828044;Keolis Seine et Oise Est;6591;;Bus;49.050072545828044, 2.0332484593704105;Cergy;95127
IDFM:C00271;6591;IDFM:8710;La Belle Heaumière;2.0239319458374494;49.0495251123974;Keolis Seine et Oise Est;6591;;Bus;49.0495251123974, 2.0239319458374494;Cergy;95127
IDFM:C00271;6591;IDFM:8723;La Marnière;2.0221762487417685;49.02344637554604;Keolis Seine et Oise Est;6591;;Bus;49.02344637554604, 2.0221762487417685;Vauréal;95637
IDFM:C00271;6591;IDFM:8726;Le Noyer;2.0317300511706096;49.01046662331587;Keolis Seine et Oise Est;6591;;Bus;49.01046662331587, 2.0317300511706096;Jouy-le-Moutier;95323
IDFM:C00271;6591;IDFM:13682;Desavis;2.0541641067632326;48.97962066833733;Keolis Seine et Oise Est;6591;;Bus;48.97962066833733, 2.0541641067632326;Andrésy;78015
IDFM:C00271;6591;IDFM:488510;Gare Routière Nord (B3);2.039406803134043;48.93317119549769;Keolis Seine et Oise Est;6591;;Bus;48.93317119549769, 2.039406803134043;Poissy;78498
IDFM:C00271;6591;IDFM:23063;Gare Routière Nord (A4);2.0392198842507345;48.93294486593829;Keolis Seine et Oise Est;6591;;Bus;48.93294486593829, 2.0392198842507345;Poissy;78498
IDFM:C00271;6591;IDFM:13685;Flore;2.044903420057314;48.965374466203606;Keolis Seine et Oise Est;6591;;Bus;48.965374466203606, 2.044903420057314;Andrésy;78015
IDFM:C00271;6591;IDFM:13688;Rue de Chanteloup;2.044984042372866;48.96767730584721;Keolis Seine et Oise Est;6591;;Bus;48.96767730584721, 2.044984042372866;Andrésy;78015
IDFM:C00271;6591;IDFM:13511;Gare de Maurecourt;2.0605169734195883;48.9886903590954;Keolis Seine et Oise Est;6591;;Bus;48.9886903590954, 2.0605169734195883;Andrésy;78015
IDFM:C00271;6591;IDFM:13687;Foch;2.064580992547655;48.98761600527591;Keolis Seine et Oise Est;6591;;Bus;48.98761600527591, 2.064580992547655;Andrésy;78015
IDFM:C00271;6591;IDFM:8758;La Marnière;2.022388691615979;49.02450922088414;Keolis Seine et Oise Est;6591;;Bus;49.02450922088414, 2.022388691615979;Vauréal;95637
IDFM:C00271;6591;IDFM:5504;La Croix Lieu;2.0226534170684562;49.03005973249608;Keolis Seine et Oise Est;6591;;Bus;49.03005973249608, 2.0226534170684562;Vauréal;95637
IDFM:C00271;6591;IDFM:14147;Rond-Point du Chêne;2.022490116054547;49.04744965732234;Keolis Seine et Oise Est;6591;;Bus;49.04744965732234, 2.022490116054547;Cergy;95127
IDFM:C00271;6591;IDFM:8894;Rue du Chemin de Fer;2.0364976653067597;49.04749089277549;Keolis Seine et Oise Est;6591;;Bus;49.04749089277549, 2.0364976653067597;Cergy;95127
IDFM:C00272;6517;IDFM:13514;Foch Pasteur;2.064363853548564;48.987533377298526;Keolis Seine et Oise Est;6517;;Bus;48.987533377298526, 2.064363853548564;Andrésy;78015
IDFM:C00272;6517;IDFM:13509;Valois Robaresses;2.0579867694080614;48.989569794742806;Keolis Seine et Oise Est;6517;;Bus;48.989569794742806, 2.0579867694080614;Andrésy;78015
IDFM:C00272;6517;IDFM:13875;Viaduc / Maurecourt;2.066584073450927;48.99096791173549;Keolis Seine et Oise Est;6517;;Bus;48.99096791173549, 2.066584073450927;Maurecourt;78382
IDFM:C00272;6517;IDFM:13681;Les Charvaux;2.0543842224143316;48.990800439995226;Keolis Seine et Oise Est;6517;;Bus;48.990800439995226, 2.0543842224143316;Andrésy;78015
IDFM:C00272;6517;IDFM:13511;Gare de Maurecourt;2.0605169734195883;48.9886903590954;Keolis Seine et Oise Est;6517;;Bus;48.9886903590954, 2.0605169734195883;Andrésy;78015
IDFM:C00273;7809;IDFM:23057;Gare Routière Nord (A2);2.0397613166631197;48.933192023040284;Keolis Seine et Oise Est;7809;;Bus;48.933192023040284, 2.0397613166631197;Poissy;78498
IDFM:C00273;7809;IDFM:463926;Parly 2;2.114120943597051;48.826858057159576;Keolis Seine et Oise Est;7809;;Bus;48.826858057159576, 2.114120943597051;Le Chesnay-Rocquencourt;78158
IDFM:C00273;7809;IDFM:4243;Les 3 Fontaines;2.111806392692942;48.83638350135318;Keolis Seine et Oise Est;7809;;Bus;48.83638350135318, 2.111806392692942;Le Chesnay-Rocquencourt;78158
IDFM:C00273;7809;IDFM:13968;Rhin - Danube;2.0277634494992123;48.92221338713395;Keolis Seine et Oise Est;7809;;Bus;48.92221338713395, 2.0277634494992123;Poissy;78498
IDFM:C00274;6512;IDFM:485545;Vente Bertine;1.9670630905897248;48.9179821687004;Keolis Seine et Oise Est;6512;;Bus;48.9179821687004, 1.9670630905897248;Orgeval;78466
IDFM:C00274;6512;IDFM:423098;Croix Paquet;1.946193679127712;48.926290258212326;Keolis Seine et Oise Est;6512;;Bus;48.926290258212326, 1.946193679127712;Morainvilliers;78431
IDFM:C00274;6512;IDFM:423087;Auberge;1.9499045792009517;48.935828852922015;Keolis Seine et Oise Est;6512;;Bus;48.935828852922015, 1.9499045792009517;Morainvilliers;78431
IDFM:C00274;6512;IDFM:14160;Les Feugères;1.9693606132428736;48.94046741671483;Keolis Seine et Oise Est;6512;;Bus;48.94046741671483, 1.9693606132428736;Orgeval;78466
IDFM:C00274;6512;IDFM:13902;Maison Blanche;1.9738128544999183;48.930693905679306;Keolis Seine et Oise Est;6512;;Bus;48.930693905679306, 1.9738128544999183;Orgeval;78466
IDFM:C00274;6512;IDFM:13379;Pasteur RD 113;1.9833433566407834;48.927735383437316;Keolis Seine et Oise Est;6512;;Bus;48.927735383437316, 1.9833433566407834;Orgeval;78466
IDFM:C00274;6512;IDFM:34673;Gare Sud de Poissy (1A);2.0423616127017925;48.933563565960476;Keolis Seine et Oise Est;6512;;Bus;48.933563565960476, 2.0423616127017925;Poissy;78498
IDFM:C00274;6512;IDFM:14157;Le Tremblay;1.9736976727554414;48.93999201429931;Keolis Seine et Oise Est;6512;;Bus;48.93999201429931, 1.9736976727554414;Orgeval;78466
IDFM:C00274;6512;IDFM:423101;Rue du Moulle;1.9389966348636605;48.92985110174134;Keolis Seine et Oise Est;6512;;Bus;48.92985110174134, 1.9389966348636605;Morainvilliers;78431
IDFM:C00274;6512;IDFM:13390;Croix Paquet;1.9467169559501867;48.926061029634006;Keolis Seine et Oise Est;6512;;Bus;48.926061029634006, 1.9467169559501867;Morainvilliers;78431
IDFM:C00274;6512;IDFM:423041;Église;1.976750234493775;48.91945028948971;Keolis Seine et Oise Est;6512;;Bus;48.91945028948971, 1.976750234493775;Orgeval;78466
IDFM:C00274;6512;IDFM:13407;La Chapelle;1.988696056476334;48.918481500184754;Keolis Seine et Oise Est;6512;;Bus;48.918481500184754, 1.988696056476334;Orgeval;78466
IDFM:C00274;6512;IDFM:13896;Pont A13;1.997287367477921;48.92515486752979;Keolis Seine et Oise Est;6512;;Bus;48.92515486752979, 1.997287367477921;Orgeval;78466
IDFM:C00275;6570;IDFM:14028;Grande Ceinture;2.0718321459173565;48.90141944100099;Keolis Seine et Oise Est;6570;;Bus;48.90141944100099, 2.0718321459173565;Saint-Germain-en-Laye;78551
IDFM:C00275;6570;IDFM:13769;Joyenval;2.031536540220566;48.90280015260699;Keolis Seine et Oise Est;6570;;Bus;48.90280015260699, 2.031536540220566;Chambourcy;78133
IDFM:C00275;6570;IDFM:34540;Rue de Feucherolles;2.0225442430755387;48.90727781519693;Keolis Seine et Oise Est;6570;;Bus;48.90727781519693, 2.0225442430755387;Aigremont;78007
IDFM:C00275;6570;IDFM:13406;La Chapelle;1.9891860156931698;48.918548589054645;Keolis Seine et Oise Est;6570;;Bus;48.918548589054645, 1.9891860156931698;Orgeval;78466
IDFM:C00275;6570;IDFM:13405;Tressancourt;1.9841220045013321;48.918613678251454;Keolis Seine et Oise Est;6570;;Bus;48.918613678251454, 1.9841220045013321;Orgeval;78466
IDFM:C00275;6570;IDFM:13395;Ferme de Montamets;1.963459419571704;48.92351799528928;Keolis Seine et Oise Est;6570;;Bus;48.92351799528928, 1.963459419571704;Orgeval;78466
IDFM:C00275;6570;IDFM:13601;Chemin de Bichaille;1.9429641666596933;48.93275505954893;Keolis Seine et Oise Est;6570;;Bus;48.93275505954893, 1.9429641666596933;Morainvilliers;78431
IDFM:C00275;6570;IDFM:32540;Monument;1.913615950464804;48.95173838809244;Keolis Seine et Oise Est;6570;;Bus;48.95173838809244, 1.913615950464804;Ecquevilly;78206
IDFM:C00275;6570;IDFM:13891;Gare des Mureaux (C1);1.9127382601345568;48.99306273915126;Keolis Seine et Oise Est;6570;;Bus;48.99306273915126, 1.9127382601345568;Les Mureaux;78440
IDFM:C00275;6570;IDFM:32710;Médiathèque;1.91295747363614;48.98911682200836;Keolis Seine et Oise Est;6570;;Bus;48.98911682200836, 1.91295747363614;Les Mureaux;78440
IDFM:C00275;6570;IDFM:32963;Centre Commercial Bougimonts;1.9120678605112063;48.98657273944037;Keolis Seine et Oise Est;6570;;Bus;48.98657273944037, 1.9120678605112063;Les Mureaux;78440
IDFM:C00275;6570;IDFM:13589;Vigne Blanche;1.912239496058069;48.981637135220424;Keolis Seine et Oise Est;6570;;Bus;48.981637135220424, 1.912239496058069;Les Mureaux;78440
IDFM:C00275;6570;IDFM:32542;Porte du May;1.9226827713689172;48.957018299529864;Keolis Seine et Oise Est;6570;;Bus;48.957018299529864, 1.9226827713689172;Ecquevilly;78206
IDFM:C00275;6570;IDFM:32539;Les Sablons;1.9205212145466133;48.95391417849365;Keolis Seine et Oise Est;6570;;Bus;48.95391417849365, 1.9205212145466133;Ecquevilly;78206
